IS_name	itr1_start_pos	itr1_end_pos	itr2_start_pos	itr2_end_pos	description
IS_length_2192-IPR013762_1008_1563	1	42	2151	2192	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1924-PTHR42648_175_1060-IPR012337_502_1051-IPR036397_589_1057	1	29	1895	1924	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR42648:TRANSPOSASE, PUTATIVE-RELATED
IS_length_2791-PTHR35004_1168_2374-IPR012337_1528_1972-IPR036397_1588_2020	1	32	2762	2791	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_927-IPR002686_350_779-IPR002686_335_788-IPR036515_317_815-IPR036515_320_800-PTHR36966_269_794	1	29	892	927	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_2857-IPR013762_2_233	1	26	2832	2857	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2785-PTHR33055:SF10_1118_2294-IPR002525_1145_1607-IPR003346_1931_2180-PTHR33055_1118_2294	1	34	2751	2785	IPR002525:Transposase, IS111A/IS1328/IS1533, N-terminal;IPR003346:Transposase, IS116/IS110/IS902;PTHR33055:SF10:PUTATIVE TRANSPOSASE FOR IS117-RELATED;PTHR33055:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1111A
IS_length_1732-IPR036515_193_712-IPR036515_193_607-PTHR36966_199_652-IPR002686_229_583-IPR002686_217_589	1	29	1702	1732	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_2067-IPR025246_0_93-IPR036397_444_912-IPR012337_462_894-PTHR10948_0_900-IPR025246_1872_1965	1	28	2040	2067	IPR012337:Ribonuclease H-like superfamily;IPR025246:Transposase IS30-like HTH domain;IPR036397:Ribonuclease H superfamily;PTHR10948:TRANSPOSASE
IS_length_1477-IPR036397_494_983-PTHR35004_149_1010-IPR012337_494_983	1	32	1435	1477	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_1504-IPR002560_633_831	1	47	1458	1504	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain
