IS_name	sample_id	contig	itr1_start_position	itr1_end_position	itr2_start_position	itr2_end_position	description
IS_length_2213-IPR010095_1567_1759-IPR010095_1567_1759-PTHR30405_1171_1837-PTHR30405_1171_1837	SRS022530	NODE_16_length_190033_cov_39.5335	23351	23382	25532	25563	IPR010095:Transposase IS605, OrfB, C-terminal;PTHR30405:TRANSPOSASE
IS_length_2213-IPR010095_1567_1759-IPR010095_1567_1759-PTHR30405_1171_1837-PTHR30405_1171_1837	SRS022530	NODE_17_length_189754_cov_39.5253	23072	23103	25253	25284	IPR010095:Transposase IS605, OrfB, C-terminal;PTHR30405:TRANSPOSASE
IS_length_1324-IPR002559_793_1165-IPR008490_208_412-PTHR33408_70_1219	SRS022530	NODE_70_length_87190_cov_18.3993	162	195	1449	1485	IPR002559:Transposase, IS4-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_1237-IPR008490_307_520-PTHR35604_157_1153-IPR002559_571_1120	SRS022530	NODE_114_length_60835_cov_95.8214	51805	51834	53009	53041	IPR002559:Transposase, IS4-like;IPR008490:Transposase InsH, N-terminal;PTHR35604:TRANSPOSASE INSH FOR INSERTION SEQUENCE ELEMENT IS5A-RELATED
IS_length_1357-IPR001207_465_537-IPR001207_372_558	SRS022530	NODE_460_length_23882_cov_22.4792	866	898	2189	2222	IPR001207:Transposase, mutator type
IS_length_1473-IPR012337_232_529-IPR036397_229_541-IPR002514_865_1042	SRS022530	NODE_1065_length_13883_cov_5.2393	781	816	2221	2253	IPR002514:Transposase IS3/IS911family;IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily
IS_length_1930-IPR013762_825_1368	SRS022530	NODE_5064_length_4411_cov_13.6364	2161	2186	4059	4090	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2444-IPR013762_1082_1625	SRS022530	NODE_5064_length_4411_cov_13.6364	1904	1931	4320	4347	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2056-IPR013762_888_1431	SRS022530	NODE_5064_length_4411_cov_13.6364	2098	2138	4113	4153	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2975-PTHR33408_5_485-IPR008490_164_374-IPR006842_816_1158-PTHR33408_2490_2970-IPR008490_2649_2859	SRS022530	NODE_5178_length_4321_cov_42.0652	674	708	3614	3648	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_2903-PTHR33408_5_449-IPR008490_164_374-IPR006842_780_1122-PTHR33408_2454_2898-IPR008490_2613_2823	SRS022530	NODE_5178_length_4321_cov_42.0652	710	735	3587	3612	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_2825-PTHR33408_5_395-IPR008490_164_374-IPR006842_741_1083-PTHR33408_2415_2805-IPR008490_2574_2784	SRS022530	NODE_5178_length_4321_cov_42.0652	749	776	3536	3573	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_2763-PTHR33408_4_373-IPR008490_163_373-IPR006842_710_1052-PTHR33408_2384_2753-IPR008490_2543_2753	SRS022530	NODE_5178_length_4321_cov_42.0652	780	806	3516	3542	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_2741-IPR008490_164_368-PTHR33408_5_368-IPR006842_699_1041-IPR008490_2532_2736-PTHR33408_2373_2736	SRS022530	NODE_5178_length_4321_cov_42.0652	791	834	3488	3531	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_2671-IPR008490_162_330-PTHR33408_3_324-IPR006842_664_1006-IPR008490_2497_2665-PTHR33408_2338_2659	SRS022530	NODE_5178_length_4321_cov_42.0652	826	855	3467	3496	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_2657-IPR008490_164_320-PTHR33408_5_317-IPR006842_657_999-IPR008490_2490_2646-PTHR33408_2331_2643	SRS022530	NODE_5178_length_4321_cov_42.0652	833	873	3449	3489	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_2573-IPR008490_164_284-IPR006842_615_957-IPR008490_2448_2568	SRS022530	NODE_5178_length_4321_cov_42.0652	875	917	3405	3447	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal
IS_length_2337-IPR006842_496_838	SRS022530	NODE_5178_length_4321_cov_42.0652	994	1020	3302	3330	IPR006842:Transposase (putative), YhgA-like
IS_length_2219-IPR006842_438_780	SRS022530	NODE_5178_length_4321_cov_42.0652	1052	1083	3239	3270	IPR006842:Transposase (putative), YhgA-like
IS_length_2115-IPR006842_385_727	SRS022530	NODE_5178_length_4321_cov_42.0652	1105	1144	3178	3219	IPR006842:Transposase (putative), YhgA-like
IS_length_2043-IPR006842_350_692	SRS022530	NODE_5178_length_4321_cov_42.0652	1140	1173	3149	3182	IPR006842:Transposase (putative), YhgA-like
IS_length_1993-IPR006842_325_667	SRS022530	NODE_5178_length_4321_cov_42.0652	1165	1200	3120	3157	IPR006842:Transposase (putative), YhgA-like
IS_length_1957-IPR006842_307_649	SRS022530	NODE_5178_length_4321_cov_42.0652	1183	1208	3100	3139	IPR006842:Transposase (putative), YhgA-like
IS_length_1922-IPR006842_289_631	SRS022530	NODE_5178_length_4321_cov_42.0652	1201	1246	3077	3122	IPR006842:Transposase (putative), YhgA-like
IS_length_2022-IPR006842_335_677	SRS022530	NODE_5178_length_4321_cov_42.0652	1155	1184	3138	3176	IPR006842:Transposase (putative), YhgA-like
IS_length_2293-IPR006842_475_817	SRS022530	NODE_5178_length_4321_cov_42.0652	1015	1050	3272	3307	IPR006842:Transposase (putative), YhgA-like
IS_length_2423-IPR006842_540_882	SRS022530	NODE_5178_length_4321_cov_42.0652	950	978	3344	3372	IPR006842:Transposase (putative), YhgA-like
IS_length_2489-IPR006842_573_915	SRS022530	NODE_5178_length_4321_cov_42.0652	917	953	3369	3405	IPR006842:Transposase (putative), YhgA-like
IS_length_2839-PTHR33408_3_405-IPR008490_162_372-IPR006842_748_1090-PTHR33408_2422_2824-IPR008490_2581_2791	SRS022530	NODE_5178_length_4321_cov_42.0652	742	776	3546	3580	IPR006842:Transposase (putative), YhgA-like;IPR008490:Transposase InsH, N-terminal;PTHR33408:TRANSPOSASE
IS_length_2668-PTHR35004_925_2053-IPR036397_1324_1843-IPR012337_1387_1801	SRS022530	NODE_7621_length_3085_cov_8.66535	326	356	2963	2993	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_1288-IPR001207_122_1205-IPR001207_101_1169-IPR001207_734_806	SRS022530	NODE_17915_length_1288_cov_13.4047	1	25	1264	1288	IPR001207:Transposase, mutator type
